Title,Link,Published Date
Listing of the Twenty third issue of the Government Denationalization bonds,https://www.mse.mk/en/news/27/12/2024/listing-of-the-twenty-third-issue-of-the-government-denationalization-bonds,2024-12-27
Intent for a public offer for takeover of the company RZ Ekonomika AD Skopje,https://www.mse.mk/en/news/27/12/2024/intent-for-a-public-offer-for-takeover-of-the-company-rz-ekonomika-ad-skopje,2024-12-27
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/27/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-27
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/26/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-26
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/25/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-25
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/24/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-24
Block trades,https://www.mse.mk/en/news/23/12/2024/block-trades,2024-12-23
Share buy-backs and non-trade transfers of listed companies' shares,https://www.mse.mk/en/news/23/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,2024-12-23
Listing of Government bonds on the Macedonian Stock Exchange,https://www.mse.mk/en/news/20/12/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,2024-12-20
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/20/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-20
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/19/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-19
Share buy-backs and non-trade transfers of listed companies' shares,https://www.mse.mk/en/news/18/12/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,2024-12-18
Regular revision of MBI10 and OMB,https://www.mse.mk/en/news/17/12/2024/regular-revision-of-mbi10-and-omb,2024-12-17
Annual awards of the Macedonian Stock Exchange for 2024,https://www.mse.mk/en/news/17/12/2024/annual-awards-of-the-macedonian-stock-exchange-for-2024,2024-12-17
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/17/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-17
"The Macedonian Stock Exchange has joined the latest initiative launched by the European Bank for Reconstruction and Development (EBRD), alongside seven other stock exchanges from Central and South-Eastern Europe","https://www.mse.mk/en/news/16/12/2024/the-macedonian-stock-exchange-has-joined-the-latest-initiative-launched-by-the-european-bank-for-reconstruction-and-development-(ebrd),-alongside-seven-other-stock-exchanges-from-central-and-south-eastern-europe",2024-12-16
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/16/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-16
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/13/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-13
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/12/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-12
Listing of Government bonds on the Macedonian Stock Exchange,https://www.mse.mk/en/news/11/12/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,2024-12-11
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/11/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-11
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/10/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-10
Takeover bid for the company Geras Cunev Trgovija AD Strumica,https://www.mse.mk/en/news/7/12/2024/takeover-bid-for-the-company-geras-cunev-trgovija-ad-strumica,2024-12-07
Takeover bid for the company Geras Cunev Konfekcija AD Strumica,https://www.mse.mk/en/news/7/12/2024/takeover-bid-for-the-company-geras-cunev-konfekcija-ad-strumica,2024-12-07
Bulletin for November 2024,https://www.mse.mk/en/news/6/12/2024/bulletin-for-november-2024,2024-12-06
Third training for corporate secretaries successfully completed,https://www.mse.mk/en/news/6/12/2024/third-training-for-corporate-secretaries-successfully-completed,2024-12-06
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/6/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-06
Share buy-backs,https://www.mse.mk/en/news/5/12/2024/share-buy-backs,2024-12-05
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/4/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-04
Block trades,https://www.mse.mk/en/news/3/12/2024/block-trades,2024-12-03
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/3/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-03
Block trades,https://www.mse.mk/en/news/2/12/2024/block-trades,2024-12-02
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/2/12/2024/non-trade-transfers-of-listed-companies-share,2024-12-02
Block trades,https://www.mse.mk/en/news/29/11/2024/block-trades,2024-11-29
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/29/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-29
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/28/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-28
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/27/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-27
Listing of Government bonds on the Macedonian Stock Exchange,https://www.mse.mk/en/news/26/11/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,2024-11-26
Share buy-backs and non-trade transfers of listed companies' shares,https://www.mse.mk/en/news/26/11/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,2024-11-26
Public auction for big packages of shares,https://www.mse.mk/en/news/25/11/2024/public-auction-for-big-packages-of-shares,2024-11-25
Training for corporate secretaries,https://www.mse.mk/en/news/25/11/2024/training-for-corporate-secretaries,2024-11-25
Share buy-backs and non-trade transfers of listed companies' shares,https://www.mse.mk/en/news/22/11/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,2024-11-22
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/21/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-21
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/20/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-20
Block trade,https://www.mse.mk/en/news/19/11/2024/block-trade,2024-11-19
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/19/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-19
Deletion of the publisher Pelisterka AD Skopje from the Watch List,https://www.mse.mk/en/news/18/11/2024/deletion-of-the-publisher-pelisterka-ad-skopje-from-the-watch-list,2024-11-18
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/15/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-15
The member Halk Banka AD Skopje will start trading through the BEST system,https://www.mse.mk/en/news/13/11/2024/the-member-halk-banka-ad-skopje-will-start-trading-through-the-best-system,2024-11-13
Block trade,https://www.mse.mk/en/news/13/11/2024/block-trade,2024-11-13
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/13/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-13
Block trades,https://www.mse.mk/en/news/12/11/2024/block-trades,2024-11-12
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/12/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-12
Summary of financial data of Listed MSE companies,https://www.mse.mk/en/news/11/11/2024/summary-of-financial-data-of-listed-mse-companies,2024-11-11
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/11/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-11
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/8/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-08
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/7/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-07
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/6/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-06
Bulletin for October 2024,https://www.mse.mk/en/news/5/11/2024/bulletin-for-october-2024,2024-11-05
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/5/11/2024/non-trade-transfers-of-listed-companies-share,2024-11-05
Block trades,https://www.mse.mk/en/news/4/11/2024/block-trades,2024-11-04
"In anticipation of World Savings Day, the Macedonian Stock Exchange organized an event for students","https://www.mse.mk/en/news/31/10/2024/in-anticipation-of-world-savings-day,-the-macedonian-stock-exchange-organized-an-event-for-students",2024-10-31
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/31/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-31
Listing of Government bonds on the Macedonian Stock Exchange,https://www.mse.mk/en/news/30/10/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,2024-10-30
Block trade,https://www.mse.mk/en/news/30/10/2024/block-trade,2024-10-30
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/30/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-30
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/29/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-29
"Expansion of the basis for attention to the companies Geras Cunev Konfekcija AD Strumica and Geras Cunev Trgovija AD Strumica on the ""Watch List""","https://www.mse.mk/en/news/25/10/2024/expansion-of-the-basis-for-attention-to-the-companies-geras-cunev-konfekcija-ad-strumica-and-geras-cunev-trgovija-ad-strumica-on-the-""watch-list""",2024-10-25
Intent for a public offer for takeover of the company Geras Cunev Trgovija AD Strumica,https://www.mse.mk/en/news/25/10/2024/intent-for-a-public-offer-for-takeover-of-the-company-geras-cunev-trgovija-ad-strumica,2024-10-25
Intent for a public offer for takeover of the company Geras Cunev Konfekcija AD Strumica,https://www.mse.mk/en/news/25/10/2024/intent-for-a-public-offer-for-takeover-of-the-company-geras-cunev-konfekcija-ad-strumica,2024-10-25
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/25/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-25
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/24/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-24
Listing of Government bonds on the Macedonian Stock Exchange,https://www.mse.mk/en/news/22/10/2024/listing-of-government-bonds-on-the-macedonian-stock-exchange,2024-10-22
New redesigned website of the SEI NET platform,https://www.mse.mk/en/news/22/10/2024/new-redesigned-website-of-the-sei-net-platform,2024-10-22
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/22/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-22
Block trade,https://www.mse.mk/en/news/21/10/2024/block-trade,2024-10-21
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/21/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-21
Block trades,https://www.mse.mk/en/news/18/10/2024/block-trades,2024-10-18
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/18/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-18
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/17/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-17
"With the rounde table discussion, ""Youth and Finances"", the Macedonian Stock Exchange joined ""Ring the Bell for Financial Literacy"" for the fourth time","https://www.mse.mk/en/news/17/10/2024/with-the-rounde-table-discussion,-""youth-and-finances"",-the-macedonian-stock-exchange-joined-""ring-the-bell-for-financial-literacy""-for-the-fourth-time",2024-10-17
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/16/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-16
Block trades,https://www.mse.mk/en/news/15/10/2024/block-trades,2024-10-15
Second Report on compliance of the listed companies with the Corporate Governance Code,https://www.mse.mk/en/news/14/10/2024/second-report-on-compliance-of-the-listed-companies-with-the-corporate-governance-code,2024-10-14
Share buy-backs and non-trade transfers of listed companies' shares,https://www.mse.mk/en/news/14/10/2024/share-buy-backs-and-non-trade-transfers-of-listed-companies-shares,2024-10-14
Block trades,https://www.mse.mk/en/news/10/10/2024/block-trades,2024-10-10
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/10/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-10
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/9/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-09
Public warning for the listed company DS Smith AD Skopje,https://www.mse.mk/en/news/8/10/2024/public-warning-for-the-listed-company-ds-smith-ad-skopje,2024-10-08
Block trades,https://www.mse.mk/en/news/8/10/2024/block-trades,2024-10-08
Block trade,https://www.mse.mk/en/news/7/10/2024/block-trade,2024-10-07
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/7/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-07
Bulletin for September 2024,https://www.mse.mk/en/news/4/10/2024/bulletin-for-september-2024,2024-10-04
Block trade,https://www.mse.mk/en/news/3/10/2024/block-trade,2024-10-03
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/3/10/2024/non-trade-transfers-of-listed-companies-share,2024-10-03
Block trade,https://www.mse.mk/en/news/1/10/2024/block-trade,2024-10-01
Block trades,https://www.mse.mk/en/news/30/9/2024/block-trades,2024-09-30
Non-trade transfers of listed companies' share,https://www.mse.mk/en/news/30/9/2024/non-trade-transfers-of-listed-companies-share,2024-09-30
Decision by the SEC on the failure of the offer to take over Stopanska Banka AD Bitola,https://www.mse.mk/en/news/27/9/2024/decision-by-the-sec-on-the-failure-of-the-offer-to-take-over-stopanska-banka-ad-bitola,2024-09-27
Removal of the issuer Stopanska Banka AD Bitola from the Watch List,https://www.mse.mk/en/news/27/9/2024/removal-of-the-issuer-stopanska-banka-ad-bitola-from-the-watch-list,2024-09-27
